BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
4fbe227e-006b-4df2-9841-8a68fb6cf58e,810,0.19,5,approved,0,0
700e96aa-8e95-4300-ab9e-b87622918595,717,0.283,5,approved,0,0
640a969b-30b3-48c2-9766-ecf3df6b12e8,617,0.383,4,approved,0,0
fa4f6b65-6bbb-4554-9720-c4329e485562,869,0.131,5,approved,0,0
2ef5cd3d-e16c-483a-97f6-b1491ed9e583,726,0.274,5,approved,0,0
85ca9069-0f21-4d82-8796-722f93b66d07,588,0.412,4,approved,0,0
68c2ced0-a240-4703-b97f-b9ddb8c25de4,636,0.364,4,approved,0,0
c1111b6f-8038-4673-b22d-5ba99ad9281b,615,0.385,4,approved,0,0
5f2f88e7-5a76-4e54-a42a-0ea4e5c82eec,776,0.224,5,approved,0,1
0757460e-a4ef-40a4-9f64-600ad326295c,422,0.578,1,denied,1,0
2b6a2514-e9a4-4f03-b958-a9be5b7f8d60,547,0.453,3,approved,0,1
d4dac3f3-01c5-4a60-aa74-1eddab64956d,700,0.3,5,approved,0,0
9f2f14ed-bd18-4d1c-9909-aab0a702e066,636,0.364,4,approved,0,0
95baf480-96b6-4c13-a089-105f719dd01c,784,0.216,5,approved,0,0
c1049369-d4ee-46dd-9e44-2010765f25e8,841,0.159,5,approved,0,0
8362ff8f-56d9-4e72-8f72-85ba8e61ce3c,631,0.369,4,approved,0,1
069fa549-f22d-4784-9151-f213a9d9ef74,566,0.434,3,approved,0,0
3a440df1-222f-493b-9b78-e6992a591147,809,0.191,5,approved,0,0
882c5efc-8146-48a2-824d-21e421c40d9b,737,0.263,5,approved,0,0
3c4d982f-c289-4e43-aa6f-ecbbc41a5819,781,0.219,5,approved,0,1
e9194a5d-b3b1-4da7-8bbb-3c57b98ef1ea,789,0.211,5,approved,0,0
a65e46d4-5b2c-44f3-b952-bf5617c8e514,668,0.332,5,approved,0,0
914ae5da-cef8-459b-b106-034432fba76d,186,0.814,1,denied,1,1
b38e0443-228a-4454-8e4a-1a11f8113b7c,669,0.331,5,approved,0,0
b7b69180-affb-4b26-bf3c-e63a4578e64d,769,0.231,5,approved,0,0
b8ad9ef4-d6c5-4aa4-a765-9c81787a5913,638,0.362,4,approved,0,1
c1d90f58-ab4e-4a67-b4f8-810b6b813c13,805,0.195,5,approved,0,0
829daa40-4bcc-4a03-8695-c6d26bb40637,812,0.188,5,approved,0,1
478eadd3-4f62-47a6-b374-79f9969237ef,866,0.134,5,approved,0,0
10b1ad34-10d4-46e4-aa53-2450f6bdd555,597,0.403,4,approved,0,0
4cc3616e-d21a-491c-be5e-98175886a571,620,0.38,4,approved,0,0
164e9d70-8774-4dd4-a6cd-97315643f440,711,0.289,5,approved,0,0
c6a41c80-bc3b-4c46-a83b-9c8e8623ed5e,643,0.357,4,approved,0,0
e0b7a334-adb6-4153-90ab-772ed121a3ab,551,0.449,3,approved,0,1
9cfa6716-f7e7-48c2-83c9-4c54542fef92,801,0.199,5,approved,0,0
77fbf32c-d4e1-4b9f-9aa2-90e624e1fec2,550,0.45,3,approved,0,1
a5de179f-8641-4612-836c-da9950bdefe1,585,0.415,4,approved,0,0
633201ea-1155-4710-93a8-8186a0336c72,588,0.412,4,approved,0,0
9f5f2e12-35e9-45e0-bfdb-0f65eaafd11a,555,0.445,3,approved,0,0
f111adcb-85ac-4c75-b303-02fc360ea7cd,534,0.466,3,approved,0,0
128eec91-73e8-4c4a-90d7-776089a23cf9,773,0.227,5,approved,0,0
