BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
7e60117f-fa2d-426a-b2de-324032c34f55,841,0.159,5,approved,0,0
42a09d1c-78a4-4488-a68f-117d72e10eb3,551,0.449,3,approved,0,1
d7613a2e-b58e-4091-8929-27836b64ca34,719,0.281,5,approved,0,0
b188ae04-72f1-4ee3-adae-ee3db9464a9b,831,0.169,5,approved,0,0
c9a023a9-73c5-4588-9d04-c55d77c9d0c1,599,0.401,4,approved,0,0
c1cf9d62-6cc3-431e-afb5-947ce947559d,860,0.14,5,approved,0,0
b087b7c9-1ea0-480e-9f97-fd68503d4495,706,0.294,5,approved,0,0
a83d0582-39ee-4f39-ab19-be38633754e4,575,0.425,3,approved,0,0
08c9ee0d-9e2f-4690-9e32-a64d895910c4,598,0.402,4,approved,0,0
2ea6bf3b-c108-417b-a403-060cab3fa309,782,0.218,5,approved,0,0
36a6dfa2-732a-44e8-8f55-922d6aa34566,662,0.338,5,approved,0,0
aaea743e-af9d-4349-81ef-62f71501dfc6,826,0.174,5,approved,0,0
37ccc811-cc90-45ee-873d-0538edf2d591,585,0.415,4,approved,0,0
88aa77f0-e98c-44d7-b25b-69909b12a9fd,634,0.366,4,approved,0,0
631e3314-8740-41be-abe6-c4339d150885,888,0.112,5,approved,0,0
372e8369-18ca-4a5c-8a53-f79f50f7f62e,661,0.339,5,approved,0,0
3179d36f-3ee0-418e-95d3-97b35cb9e305,785,0.215,5,approved,0,1
fb681a59-c4c5-476b-acf9-9da004aff557,558,0.442,3,approved,0,0
a1799004-9a31-48a4-9eab-d47bc34bd884,573,0.427,3,approved,0,0
ed471d54-37ee-40a3-a3d5-0ea9290aa8cf,512,0.488,2,approved,0,0
8a487a74-0b49-41d4-9ee5-2e2c85ee32e1,612,0.388,4,approved,0,0
5754c45a-75ba-4fa7-855f-f77845dffeeb,743,0.257,5,approved,0,1
92bc0881-51b9-4dc9-be96-cca56ca9657f,519,0.481,2,approved,0,0
da585ddb-3822-43e1-a5bf-ea323b8c9181,998,0.002,5,approved,0,0
2a1dd059-99e7-4b67-b116-4af32d7d065e,560,0.44,3,approved,0,1
78519ce8-e67e-4a76-a487-95854b7bb806,629,0.371,4,approved,0,1
d6777dfb-dfe8-49b7-928b-c6d8d144caba,803,0.197,5,approved,0,0
0d1ee83b-9e08-42c4-b089-fbea3bcbc3c2,985,0.015,5,approved,0,0
dcbbe7b2-947b-4da5-a53e-7554a5458e2e,763,0.237,5,approved,0,0
94eb266f-2f48-4345-bc50-f9486a463884,672,0.328,5,approved,0,0
78cbbf6a-b0e5-45fe-a164-c57edefeed63,767,0.233,5,approved,0,0
be22cc32-59fa-4c81-82e0-47c94e6f1f59,645,0.355,4,approved,0,1
b3f2c07f-e48a-4c65-a2ba-32b023d6c019,531,0.469,2,approved,0,0
6209041d-ac84-417f-a065-5d4e382ef92a,592,0.408,4,approved,0,0
40236765-b8d8-483a-95f5-eda7f23ef13a,625,0.375,4,approved,0,0
0f6ace6f-6a13-4cf2-b7e3-d35d56078ea7,719,0.281,5,approved,0,0
bd340dd2-3d82-4c08-8fc5-59aa6e6ce06c,857,0.143,5,approved,0,1
20467b77-d33b-4dda-9755-67226ef17150,627,0.373,4,approved,0,0
6896a92b-8f65-4592-b73f-30e2f1f8607e,560,0.44,3,approved,0,0
abfb0046-de3f-4152-a843-ad44ad96a7e4,599,0.401,4,approved,0,0
770e45bf-bd58-4a53-b0b6-c81b328724a3,991,0.009,5,approved,0,0
d349bacb-c1f3-4a1b-833a-c27c1befe436,699,0.301,5,approved,0,0
5adeedb4-7eb4-4165-853a-549d808850af,733,0.267,5,approved,0,0
d67b5ab6-872b-4f39-90ae-1f3d09df2e5e,620,0.38,4,approved,0,0
6fa1d722-2250-488e-9213-48c6abd4bc10,917,0.083,5,approved,0,0
fd2daf1e-256e-44bd-b48c-4410c7d32b47,551,0.449,3,approved,0,0
378d7cf0-d61d-4cff-9e3e-ecc65a5f339d,551,0.449,3,approved,0,1
ad6ab77f-effe-4784-bd1f-f162520edbc5,645,0.355,4,approved,0,0
e7681dfa-c0d4-4b5b-9c1b-63b77a2d04f3,637,0.363,4,approved,0,0
3c3b92d8-64e2-41d3-a030-068b929539b6,608,0.392,4,approved,0,0
97db6134-21b8-4a9c-8f3e-234eec885727,771,0.229,5,approved,0,0
638321c8-a58b-4c69-a6e9-f1b13c18b5b7,613,0.387,4,approved,0,0
b0bd730c-f0ba-4dc7-b264-f620d771b792,616,0.384,4,approved,0,1
b2de8118-7897-47e7-893f-7a8992aed69c,697,0.303,5,approved,0,0
1e029b61-9b46-4ed2-9c72-d327c64b7212,820,0.18,5,approved,0,0
18a8c521-a72f-4f3f-8e76-f693d861957a,615,0.385,4,approved,0,0
ca704c94-18b8-47b6-88f7-109ab86f2fdc,640,0.36,4,approved,0,1
ead4d224-18c4-4f26-8735-901afb13f6e0,761,0.239,5,approved,0,0
eddd2a9b-d3d5-444a-b6ac-1da0ea530ebc,931,0.069,5,approved,0,0
69f2679c-939c-4667-aa75-cc8ad217f6c0,691,0.309,5,approved,0,0
495bb27e-3b68-43ad-b87a-a5fd3fdf3f00,784,0.216,5,approved,0,0
645ed190-186b-4ac4-a677-c0dfa2b4a076,551,0.449,3,approved,0,0
40f1155e-a645-462b-b816-f12c427b49c7,906,0.094,5,approved,0,0
38d3e751-7709-4fa1-be87-3808e79a5114,552,0.448,3,approved,0,0
ab5dab82-ab6f-425b-9c4f-6f2980d0640c,918,0.082,5,approved,0,0
8917ebad-a6e1-436f-9d34-03636b643689,665,0.335,5,approved,0,0
0269cb61-7a77-40ef-a9e3-06407150a713,564,0.436,3,approved,0,0
b0dd5ba5-ad86-462f-8865-7eeadde2ddb3,551,0.449,3,approved,0,1
79cc67d9-57ff-4b1a-a9e8-febed215a755,618,0.382,4,approved,0,0
a0252359-db96-416a-9af8-3f62e2d18981,617,0.383,4,approved,0,0
