BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
110dd86d-bd0e-4f07-8f64-52eb9c02ec15,967,0.033,5,approved,0,0
7eaad44d-39ca-4d49-9522-21f3b82b0883,965,0.035,5,approved,0,0
39cdb767-80f4-47b3-84fd-29143a5f6297,709,0.291,5,approved,0,0
60044cfc-623c-45ba-a060-98908ff84bde,551,0.449,3,approved,0,0
eac39de3-5ea4-4a61-b2e7-729a7f5da19e,529,0.471,2,approved,0,0
8c2aeed1-9148-488c-a6f5-4a2abe1fce4c,637,0.363,4,approved,0,0
baba8d8d-f791-48b8-93c3-bbc26b01ade6,948,0.052,5,approved,0,0
c842aeb5-a586-44e0-a1ce-4e1380fc8e72,718,0.282,5,approved,0,0
a8d8c2bd-2aeb-4539-9eaf-04865ac898ea,659,0.341,5,approved,0,0
97a35645-fd9b-4173-b8d0-02f28cd2b4a7,592,0.408,4,approved,0,0
9471e999-82cd-4662-8015-7de393445df5,879,0.121,5,approved,0,0
9dd08863-3f50-4594-8195-5c4d34abd386,994,0.006,5,approved,0,0
c9e4dac8-94d4-4ac6-9682-f5595d16d148,653,0.347,4,approved,0,0
f49ef19a-2075-432d-836a-b55506fbc28b,868,0.132,5,approved,0,0
d86a6997-6d04-4b0c-914c-a0641bdbb6c0,551,0.449,3,approved,0,0
d2f9f0cf-1c51-40e6-95e3-7fc4dbd7d278,610,0.39,4,approved,0,0
48cec87a-5355-4f0a-9fe7-8173d8a9b76c,883,0.117,5,approved,0,0
1143ff6c-7174-4605-a1d7-429a2a4acb97,813,0.187,5,approved,0,0
b39aa35b-6ac0-48e7-adb5-c67a8407a978,725,0.275,5,approved,0,0
21f3965d-e346-4631-b643-8d76ed402563,978,0.022,5,approved,0,0
e0b805a5-0d03-4771-b7fb-b0d73da9c06b,967,0.033,5,approved,0,0
abafa8b6-3b3e-4479-a512-0a9c5b53f402,877,0.123,5,approved,0,0
fd2a7a2f-98c0-4e74-a62b-51db1a8951ca,999,0.001,5,approved,0,0
66228bee-2af1-49d0-89a7-5811a30829ec,720,0.28,5,approved,0,0
2a39510a-9d0f-4fe0-afbd-6045341118f0,641,0.359,4,approved,0,1
6285caff-d433-4f53-b0ee-43e5909fb278,751,0.249,5,approved,0,0
38eb8694-5970-4aac-af37-9c83d5a27521,621,0.379,4,approved,0,0
4edd3733-a1a3-45cb-ba63-ddf921a00d6b,567,0.433,3,approved,0,0
f553f641-af80-4a93-a064-6e694dbb6dab,633,0.367,4,approved,0,0
d694578d-913a-4c13-a198-455b9786f6c7,551,0.449,3,approved,0,0
d23115a9-a804-4723-9d27-58d8048bf67e,517,0.483,2,approved,0,0
aeb04074-82cc-4120-8746-e7ce225fddc0,604,0.396,4,approved,0,0
261b95a5-850e-4878-b220-2458d078e06b,978,0.022,5,approved,0,0
348be191-a75d-4bce-8e8d-d96d6f4fcdd5,772,0.228,5,approved,0,0
a676a67d-0fe0-420d-bbfe-e192e161e0a4,978,0.022,5,approved,0,0
67646432-7610-44db-9ba5-767a15791083,663,0.337,5,approved,0,1
99e58225-d001-42ce-86c9-25cdf618ec4a,551,0.449,3,approved,0,0
4a75b85c-c473-4f18-9924-c5b0b7bfca80,632,0.368,4,approved,0,1
3f717293-1823-468b-b0f9-bbfc293b7f75,999,0.001,5,approved,0,0
8ba46a62-d70d-46f1-b315-f842af886608,978,0.022,5,approved,0,0
159828e3-13f8-414b-aeb1-05e8e2914725,738,0.262,5,approved,0,0
dcb9e26b-020d-4bcf-a6a7-9d759eacbe39,583,0.417,4,approved,0,0
90cb6bb3-f0ef-4a96-9866-d10733dce652,864,0.136,5,approved,0,0
5a4fbe86-5086-414a-bcbe-0cf9867a6456,514,0.486,2,approved,0,0
599d5831-5f02-40f6-b640-9b7d8d5ae0f8,971,0.029,5,approved,0,0
1ee3f531-8702-449a-9585-3a5b12495026,653,0.347,4,approved,0,0
7d19c5d3-cf88-4a54-b7b8-51cca271aadd,636,0.364,4,approved,0,1
81b83b5a-5b83-41c8-847c-6625a29f3d5a,829,0.171,5,approved,0,0
c0af6e5d-3ed0-4824-9649-b3ca2bb2a6c9,717,0.283,5,approved,0,0
7a351eb5-b3d5-4451-aa1f-c21c7e058d5a,646,0.354,4,approved,0,0
123507f5-5b32-4b04-9eba-d93b2463785d,726,0.274,5,approved,0,0
dc8b2612-520a-4cad-adf2-56db0888306a,602,0.398,4,denied,0,0
50732617-e3a2-4a1e-9465-9fb72632e04d,907,0.093,5,approved,0,0
7f916751-5ea0-4648-bd74-112c38fd1d86,613,0.387,4,approved,0,0
acb2728d-ee18-4ffc-971e-3860a20d1a52,642,0.358,4,approved,0,0
0b83b90c-35eb-4910-8970-8ddc961c9fa6,707,0.293,5,approved,0,0
8326c286-b8c2-4997-80fd-1bd20e1b7784,634,0.366,4,approved,0,0
06b1e823-b85b-4102-a78f-ca23ae897a07,871,0.129,5,approved,0,0
d95daa96-0a24-4894-abfe-0002206c69a2,636,0.364,4,approved,0,0
deeddd49-6255-4b3d-81a7-c5b91bad84e9,732,0.268,5,approved,0,0
2bd84ef6-fd13-4c30-84d3-72f5a4be1e44,757,0.243,5,approved,0,0
8fd2534a-cd9a-470e-9aa9-9bdf8f38117e,666,0.334,5,approved,0,0
15f11aa0-d78d-4e16-ba21-9af751a2a091,960,0.04,5,approved,0,0
4ffedab4-08f2-4c1f-8ca2-889b07f2f967,656,0.344,5,approved,0,0
30cbab06-f644-41e1-b004-4c27abefeb06,667,0.333,5,approved,0,0
