BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
ef1dd94d-7fb7-4250-bb32-232fe628e860,886,0.114,5,approved,0,0
5589b281-df66-4e9e-815f-0d834dfc4579,666,0.334,5,approved,0,0
40d05017-8e99-41b6-b0b8-8b33aba2e3ec,599,0.401,4,approved,0,1
7014044d-3f22-41d1-962a-6c0f7863a579,621,0.379,4,approved,0,0
142b839a-2294-4fe4-be71-cefe4f93a7e8,928,0.072,5,approved,0,0
8f2dd4f3-08ee-434b-bfe4-ea3d4a533170,641,0.359,4,approved,0,0
2c2b982b-cbec-41ab-af08-6a12994e26f8,619,0.381,4,approved,0,0
ce46ecba-92dd-41ab-9d9e-2e4d652ab525,562,0.438,3,approved,0,0
38dd8773-418e-4f9e-8e38-1645f03896ab,639,0.361,4,approved,0,0
d689ead9-cee3-4942-8956-7a4dc4b39c9e,728,0.272,5,approved,0,0
3628c459-3ee6-4e73-a4b0-a54d18196666,656,0.344,5,approved,0,1
2fa543df-7882-4807-8cf8-e8c6a4388db2,798,0.202,5,approved,0,1
eb36ba47-5b14-467a-9ae5-de74e0990ba4,559,0.441,3,approved,0,0
2e22706b-355f-41de-917f-e86de0ea626a,797,0.203,5,approved,0,1
ccbe9fb9-25fa-4749-ac43-66ab28176e59,551,0.449,3,approved,0,0
d234c8d2-ced4-4b5d-879d-248306344443,682,0.318,5,approved,0,0
cf6eea28-c0ce-478c-b158-cabd8122ec12,570,0.43,3,approved,0,0
d2450694-e1b1-4c03-89ff-3f65709d3063,570,0.43,3,approved,0,0
b06df58e-8c3a-41e3-af7a-65c14a46f5f3,624,0.376,4,approved,0,0
72982d5d-b7f0-4543-8f6b-1544b2ad768b,602,0.398,4,approved,0,0
ce0068c4-9c67-4588-b05d-2a4c956823fa,617,0.383,4,approved,0,1
60e440c1-f70b-4b56-abed-7f8f3f631710,638,0.362,4,approved,0,0
9c19a10a-f86a-4233-b7b2-63155baa3387,608,0.392,4,approved,0,1
a6f371ff-2124-4b94-b8d4-f6c967ccdbc6,521,0.479,2,approved,0,0
92550303-5394-48c5-ad1d-56c239cecaaf,685,0.315,5,approved,0,0
9e380312-c2b4-4699-a6f9-ac81cbfd32e4,829,0.171,5,approved,0,0
71a18864-9a35-41a3-9f0a-1b686e5c2788,665,0.335,5,approved,0,0
2ede3fa8-9f15-4d6d-95bd-ec667ae6b94a,622,0.378,4,approved,0,0
99deb263-c602-403c-9e14-f1a9e417c4b3,793,0.207,5,approved,0,0
2960f783-1cae-4beb-8271-7758be5081fe,583,0.417,4,approved,0,1
41c46b53-5d40-4d8b-a342-3e44b2de6312,548,0.452,3,approved,0,0
7ea2eef1-9152-4265-9f7b-298f9ca759b6,551,0.449,3,approved,0,0
d4122381-efe0-48d8-b15c-5dd4aa5d97cd,653,0.347,4,approved,0,0
0a55b1f6-175b-48f5-95a3-bb1f25230161,612,0.388,4,approved,0,0
21ffa946-f599-4169-b2a7-d031df3ff0a8,856,0.144,5,approved,0,0
c9c78a67-6722-4c1b-8689-e9f9e266727a,591,0.409,4,approved,0,0
813639c1-91a7-4fe8-945d-274d698bacf4,604,0.396,4,approved,0,0
49989b67-5508-42db-88d9-aed8195c40fc,992,0.008,5,approved,0,0
392661ae-281b-48dd-b922-3cd1562d8efc,592,0.408,4,approved,0,0
03ccf2b5-daf9-4d16-9e8e-adb1dea16c31,583,0.417,4,approved,0,0
93e06c31-1644-4a01-aee5-87cdf9eb772c,587,0.413,4,approved,0,1
f0f3d625-e8f3-42a7-be3a-ec682789af30,551,0.449,3,approved,0,0
86b7bfa1-c65b-43d3-bf27-d8c9669c356f,600,0.4,4,approved,0,1
678a95de-f5ea-4966-b503-947bfcadcffe,522,0.478,2,approved,0,1
3af11a17-c8b0-46ea-8508-1406cdc7963b,540,0.46,3,approved,0,0
d8ac0ec5-8989-4840-9260-1a11dff93516,663,0.337,5,approved,0,0
fcce2bb0-f85a-4524-9334-124a7ddbcd1e,539,0.461,3,approved,0,0
e1ef7e41-26ec-44d4-b4d1-d5a01327f31b,601,0.399,4,approved,0,1
74c0c1ae-e8e0-477d-bca0-e05d7d4c4915,909,0.091,5,approved,0,0
bffc20f4-fe29-498a-8540-ef1481919896,558,0.442,3,approved,0,1
99971bad-9732-4169-9ddd-d872445a82f6,717,0.283,5,approved,0,0
cc76bc2a-62d0-4a8e-aa15-573f1886d97e,560,0.44,3,approved,0,0
985645a0-b675-4d18-9f45-6d7070a84360,576,0.424,3,approved,0,0
2d667cd5-f2cb-4807-8297-47a57d332467,875,0.125,5,approved,0,0
cb9181ac-cb97-4b28-bfb7-92c73f84bcfa,952,0.048,5,approved,0,0
33587665-f362-4667-b680-323c83369fab,582,0.418,3,approved,0,0
45d067a1-f22e-4c8e-a66d-e264e8f0e0de,649,0.351,4,approved,0,0
f644fc95-0ce3-4bd7-b278-f4e7c59f05f6,702,0.298,5,approved,0,0
4c8e5d91-c75f-4e9a-86fc-81864d3466f6,625,0.375,4,approved,0,0
4f61ae9c-fce6-4603-b369-602649252a41,708,0.292,5,approved,0,0
367f95cc-b1a2-4f45-b5c6-1b53d2291efb,628,0.372,4,approved,0,1
4da34d39-dcc9-4691-8bd0-a3bdacb4f83f,586,0.414,4,approved,0,0
fac7a2f0-53ec-4bca-9985-fd33d2be165a,706,0.294,5,approved,0,0
9fdc762d-d9da-432c-a1ad-5aa0a9ba65e0,998,0.002,5,approved,0,0
6929705f-814b-48e1-8471-7eca37ee9e6e,692,0.308,5,approved,0,0
fcd4cc81-6d43-4a1d-87dd-b32635fe91d9,550,0.45,3,approved,0,0
4614f782-852f-4fcd-b857-1a41f48ec434,669,0.331,5,approved,0,0
5eabf358-2692-4532-93a4-66a411f43bcb,566,0.434,3,approved,0,0
a3e01cb9-555a-462d-9105-bb26ab650b09,616,0.384,4,approved,0,1
87f36b79-0457-4557-a419-414003d05460,600,0.4,4,approved,0,1
b63c8153-b032-4678-935f-2bbd6e7d6543,513,0.487,2,approved,0,0
27daa153-fa76-41a1-8960-c2a816bd9a96,613,0.387,4,approved,0,0
e946fda6-a5c1-45c8-8236-5a724bfa919e,578,0.422,3,approved,0,1
9f25131c-df17-48ac-8dce-2eb73c03090b,702,0.298,5,approved,0,1
b6d9907e-4f03-418b-b0a9-00cb32c286df,666,0.334,5,approved,0,0
9958ad2e-86b4-4046-8f6f-c07376c06bc4,613,0.387,4,approved,0,0
eb95dcd1-9097-4640-8e55-34a278abebfe,678,0.322,5,approved,0,0
200a27c2-dfc0-4971-8cba-3cac3c86e2c9,558,0.442,3,approved,0,0
9f251ff4-f35e-4fad-90cd-ee7f68a6f054,858,0.142,5,approved,0,0
f87bf7ba-0374-44a7-92ef-6d4e79353992,864,0.136,5,approved,0,0
11b9a05d-cc45-4301-9e5a-5a9e119a3e23,610,0.39,4,approved,0,0
6a1cfc90-96e8-4dfa-82b5-a4d4ce95af9f,816,0.184,5,approved,0,0
ff9543d1-58cc-4c26-8eed-c8132331590a,542,0.458,3,approved,0,0
6403d520-7092-4c2d-acb9-f9159e25ef12,651,0.349,4,approved,0,1
dbcbb6ba-d823-4139-8758-44770df0c37e,651,0.349,4,approved,0,0
55af080f-3b83-406c-9899-750efa629649,655,0.345,5,approved,0,0
732ca284-67ff-418e-9f65-fae938e45d4b,637,0.363,4,approved,0,1
2a67dacb-396b-4d57-b6f3-ee6bab278dd3,623,0.377,4,approved,0,0
9699b42a-f7c1-4381-9efb-159739e89c1f,706,0.294,5,approved,0,0
d3c3815b-48c5-44b2-855e-de1e9eccd876,511,0.489,2,approved,0,0
8d73e15e-417a-48dd-a4ae-47dcc534016e,620,0.38,4,approved,0,0
754db655-c155-4f1c-aa6a-3a7ab036ab4f,849,0.151,5,approved,0,0
1a6b4137-e32c-4418-be07-283149ab00df,975,0.025,5,approved,0,0
7fbc3883-e1cf-4ed1-ae44-e3572107e87b,625,0.375,4,approved,0,0
df58cb10-aa1f-48b5-9e80-f12f70f15eb2,528,0.472,2,approved,0,1
25b45891-5e7d-4e09-8222-224f68671263,530,0.47,2,approved,0,0
c169cba4-c182-4063-8921-2624a9efe0b6,551,0.449,3,approved,0,0
259dba2f-bd0a-4af3-b0c6-9a127ef90130,603,0.397,4,approved,0,0
cabb5402-4885-41ff-a9b8-88f4674398ec,613,0.387,4,approved,0,0
