BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
5ace8850-20d4-4152-be3e-beb4f238b657,861,0.139,5,approved,0,1
c312fac6-2d74-4069-95fc-87143b4bde86,863,0.137,5,approved,0,0
77e5ad1c-dd91-423d-818f-4f610441592d,647,0.353,4,approved,0,0
240e7f3e-4c5f-4d8c-b909-fc0ab8d82c9d,728,0.272,5,approved,0,0
cb2371ea-1012-42b5-803d-de63d1138da0,611,0.389,4,approved,0,0
6d82a127-e6d0-43d7-9b8c-c4bd88352d50,858,0.142,5,approved,0,0
3e86124b-98d1-4887-9ba7-12985d559fb9,587,0.413,4,approved,0,1
bdc9e0cb-53f5-42e2-9258-ef4dad7d03c9,867,0.133,5,approved,0,0
09e71bbe-2771-4b75-a412-700477fa972a,596,0.404,4,approved,0,0
59fd804a-f850-4adf-b3a9-8fa35208f6cb,656,0.344,5,approved,0,0
9d613f29-e7cb-4f39-a789-389a86a760ec,556,0.444,3,approved,0,0
ad0c676b-ad80-4ff7-aa45-a9deb7cc2e5c,588,0.412,4,approved,0,0
a622f62a-cf47-4d4d-8b38-f5ad5ec0796b,997,0.003,5,approved,0,0
852a0f0c-9994-4402-9fd4-3647eaa281cf,703,0.297,5,approved,0,0
fed93ff0-df63-480e-9843-47c3fed40f3d,676,0.324,5,approved,0,0
f4cedbec-0b69-4cf0-81c0-63d9f87f4caf,907,0.093,5,approved,0,0
2f99a00d-bb21-49e2-ae3e-1d32ecbf7e66,534,0.466,3,approved,0,1
21f0c25b-698b-4e9a-9ac4-10943aad596e,584,0.416,4,approved,0,0
117abd45-726f-4f2a-ade7-3abcd9528e4f,633,0.367,4,approved,0,0
6d4efc1e-7474-427a-ab7e-a3ef78f6d0af,988,0.012,5,approved,0,0
e0e46e36-f12e-4302-9646-6da080cbc8aa,551,0.449,3,approved,0,0
d02a97c9-148e-4e7c-bddd-f3ccec8d5db7,830,0.17,5,approved,0,0
2eb20ac4-74ee-49dd-a2ee-edc821628eb5,978,0.022,5,approved,0,0
97cd268b-db08-4d12-8e7f-53a6a6df8860,593,0.407,4,approved,0,0
2539be6f-1bcb-4d54-8854-0f3089886129,992,0.008,5,approved,0,0
43e095e1-b2f9-4751-bc27-35808e682d08,586,0.414,4,approved,0,0
a8006999-e216-49f1-9238-e6eb62f48985,796,0.204,5,approved,0,0
069f29b1-eefd-4f76-9cc4-aa2e31278a4d,698,0.302,5,approved,0,0
dbe80ed0-12a9-42f6-9780-363cbef6cfab,809,0.191,5,approved,0,0
323e9356-6ea8-48aa-8cb6-3fb138e09742,606,0.394,4,approved,0,0
828c6187-3ece-4dc3-967f-7dfaa42c7083,657,0.343,5,approved,0,0
d417bdd8-1441-4bb5-b6c0-e663000c8311,551,0.449,3,approved,0,0
a1b8a698-957f-4b2e-8b60-c99fa00c7c89,649,0.351,4,approved,0,0
4384a372-aeb4-4223-b625-fd74cb1ede7f,590,0.41,4,approved,0,1
a6d15e67-f165-4b0c-a9d2-4690625b9d35,689,0.311,5,approved,0,0
f2d27940-eae4-46f0-8301-66be3bce0cc7,978,0.022,5,approved,0,0
96083084-529e-46f1-b4d0-fe9151587cbf,558,0.442,3,approved,0,0
9488332e-f863-431e-bc61-12cd95ac47aa,604,0.396,4,approved,0,1
5f80c021-e972-44cf-9735-eb650a6fdddf,613,0.387,4,approved,0,1
c7f2c324-6d71-412b-a61e-fe94e05aa9dd,588,0.412,4,approved,0,0
2cb9a757-dc5c-4a17-8ec7-7e2906c6cf3a,551,0.449,3,approved,0,1
33605bd4-2017-4ff1-8193-2450445f8bad,859,0.141,5,approved,0,0
bada55d1-e3bd-4d29-8428-84c324de1a62,868,0.132,5,approved,0,0
dc557247-4cab-4924-9430-89d12024d493,561,0.439,3,approved,0,0
a80894ac-400f-4285-85c0-43d46ba916c3,741,0.259,5,approved,0,0
66be9967-3c60-4905-a68f-8890757e481e,556,0.444,3,approved,0,0
47df2e6f-5b70-4919-9e87-e96188ec1f28,709,0.291,5,approved,0,0
c4480bb8-b6d5-4fa5-8263-e6c665b3097f,870,0.13,5,approved,0,0
63068933-46bb-475f-882e-f02e7cace7a0,584,0.416,4,approved,0,1
add8dcf5-79be-40ae-b12d-d3ff1629d3d8,632,0.368,4,approved,0,0
4d091d44-519d-4735-9752-31e679c79cd9,551,0.449,3,approved,0,0
ddf99023-8b52-47b9-b366-b7f115c6fdf2,591,0.409,4,approved,0,1
ab88f139-8b13-4a88-9364-6fe7fd11344b,904,0.096,5,approved,0,0
c473c2ab-4623-40dd-80a5-cb635f83f67f,768,0.232,5,approved,0,0
a904c6d0-f150-4ff7-9e3a-81a7fef7ce4a,598,0.402,4,approved,0,0
3afac6c3-1dcf-4000-82f9-a3ed5be5c5dd,808,0.192,5,approved,0,0
b1469d8e-a5ba-4e1a-8691-b47283e3cb66,537,0.463,3,approved,0,0
c2494ed8-b58e-4c9f-9e0b-7caa746a90ff,803,0.197,5,approved,0,0
b037f603-d1fd-43d5-aa18-260e2031996d,538,0.462,3,approved,0,0
692a7360-9f4f-46ab-ba40-a7ce5a490b61,824,0.176,5,approved,0,0
d6f52f37-9d79-4ad9-9a08-247f68f78040,661,0.339,5,approved,0,0
45e47b0c-c25a-4cfe-98c1-73402d2e4365,794,0.206,5,approved,0,0
68d36a89-8ed1-4696-bb74-8ecd01526652,515,0.485,2,approved,0,0
a695b32b-ee68-406e-a4ae-b39512cbcfd8,619,0.381,4,approved,0,1
891de4fc-f07c-4e07-9880-f0e5d7eb4d9f,551,0.449,3,approved,0,0
a64d954f-32ae-40e7-804a-4ebc83ffe475,659,0.341,5,approved,0,0
9562dd86-8cf8-4a06-abe1-7c3a4113bf1b,546,0.454,3,approved,0,0
7713c08a-5f20-404b-9eaa-cf7e0345e0f0,717,0.283,5,approved,0,0
c2595e60-8fb5-4ca6-8273-9ab6d9617c34,962,0.038,5,approved,0,0
363c2440-084f-478b-a0ab-c4c407e1c87e,847,0.153,5,approved,0,0
92a3599a-4f1f-4a4f-9a12-59f7acab5123,728,0.272,5,approved,0,0
aaede58b-ff75-4ee8-945f-4901550bc69a,895,0.105,5,approved,0,0
