BUSINESS_ID,RS2_SCORE,DEFAULT_PROBA,BIN,DECISION,PREDICTED_FPD,ACTUAL_FPD
ee921a98-10dc-421e-b792-00b6a5a1bc4f,887,0.113,5,approved,0,0
184e80ef-ab6e-40f7-94d2-28552cd63ecb,601,0.399,4,approved,0,1
887f21d6-543d-4a28-9fff-2eda685bd58b,577,0.423,3,approved,0,0
5d79c7a1-5163-46ae-8cec-6712bab9fca5,595,0.405,4,approved,0,0
dbb99c23-05a1-4a76-8e78-6b6d14c15284,628,0.372,4,approved,0,0
434feb8d-d570-4eb7-b864-cf3dcbe87fce,764,0.236,5,approved,0,0
01987786-03da-4482-9532-8a861583fb4c,633,0.367,4,approved,0,0
a6d27488-cb3b-4e6c-b171-3c7ad8801e4e,720,0.28,5,approved,0,0
281261df-8ec3-4c34-9466-f9e0dc61f136,551,0.449,3,approved,0,1
d1481c0a-03bb-4773-b630-b494f5239b07,984,0.016,5,approved,0,1
07d247a0-5fab-4b41-b844-6b671d14e254,890,0.11,5,approved,0,0
47b74a30-2360-481c-9cb6-ac05f4702094,606,0.394,4,approved,0,0
c8df7111-f6a4-48a9-b5b7-595530993817,784,0.216,5,approved,0,0
5616c735-28c4-442a-8b9c-d993f1aa2f8c,575,0.425,3,approved,0,1
2c6c148c-5237-4a02-86d8-75f608ab07d3,839,0.161,5,approved,0,0
fa5edc9d-c892-4a2d-a4be-ce23d0228124,580,0.42,3,approved,0,1
4d9acfb5-832b-4cd8-9aab-0fa31dc74698,621,0.379,4,approved,0,0
27a3af74-8cae-4332-8c25-136970eb0da0,832,0.168,5,approved,0,0
61de8cda-995d-4795-bd49-7f1f5ebcbc01,733,0.267,5,approved,0,0
f032ea00-3ac0-4a44-8b33-99584cc15c18,905,0.095,5,approved,0,0
bf9c65d4-b5e5-418e-81f2-64f20d2c1fa6,559,0.441,3,approved,0,1
6b28f125-3f32-4ae3-95af-5e40e84f2a79,629,0.371,4,approved,0,0
2d7ddc19-acf2-44d8-b37a-3ef2a90849d6,973,0.027,5,approved,0,0
48170484-5c44-4d24-b2ba-52b13d2301b7,829,0.171,5,approved,0,0
7e8a401d-3c92-4354-860c-2d5f28aa3b00,599,0.401,4,approved,0,0
98c9dfe7-5b07-4b1d-a6aa-62c251678c65,555,0.445,3,approved,0,1
d6da5451-cd05-4501-b592-3efa23210cad,654,0.346,5,approved,0,0
9c44f7ea-5841-417f-9704-3f328441b07a,707,0.293,5,approved,0,0
df54281a-075f-4ee4-90a6-e1be5fa2fac6,560,0.44,3,approved,0,0
075505ec-f357-4dd0-afef-dc9b8dadb958,795,0.205,5,approved,0,1
3b4460ef-7127-4103-a267-2d79369f0371,589,0.411,4,approved,0,0
a4542d84-8659-4314-a43f-f571141cf66e,999,0.001,5,approved,0,0
19ad05ac-6259-4226-863d-e7d8fe80bf41,579,0.421,3,approved,0,0
cac3cae7-175b-476e-b933-0cbbc84b9a25,606,0.394,4,approved,0,1
e82825ed-4454-47f6-a6bd-606454a5510b,693,0.307,5,approved,0,1
b6f1592a-25db-4295-8820-8d7ef53a5a9b,845,0.155,5,approved,0,0
4d4dfdd7-da46-4fa3-9ad0-a0e84d80023c,817,0.183,5,approved,0,1
bf03c54f-7447-4dfc-9a43-eb4fbde3cbf1,639,0.361,4,approved,0,0
4d8e6e6f-fe37-434e-8771-393bfce64055,612,0.388,4,approved,0,0
3e269f27-0f40-4295-8519-1b209efee8f9,644,0.356,4,approved,0,0
f7cee045-a3ba-4405-8314-aa99ac661e4a,649,0.351,4,approved,0,0
c7b97ebe-8903-4f79-bfc7-4fe3a3d09644,669,0.331,5,approved,0,0
54676a4f-c232-4447-92bc-473ea981677c,570,0.43,3,approved,0,0
f77d9bea-351f-4947-b6cb-9744316b91ee,878,0.122,5,approved,0,0
39b72c13-44ec-494a-8cfe-3ce0f1e18e15,589,0.411,4,approved,0,0
4beea7ab-5f49-45da-bded-4023869c0319,555,0.445,3,approved,0,1
2d73ebfb-5076-4142-ae70-0bf437224266,653,0.347,4,approved,0,1
50b84bfd-cb24-4bb3-989f-eb89381d672f,578,0.422,3,approved,0,0
aac5563b-5932-4432-b238-e4226cb3695c,722,0.278,5,approved,0,0
8ecd5c3b-0f9e-46b9-b792-8b4909188318,597,0.403,4,approved,0,0
0440d617-6cfa-4e16-9188-a7eea07659ac,909,0.091,5,approved,0,0
fb18da62-a1d7-464b-854c-f7e0b17efce8,993,0.007,5,approved,0,0
3ecd3223-2495-4fd2-849f-de6f261a8664,689,0.311,5,approved,0,0
c5231755-6589-4817-b919-9ac30ccb6a13,607,0.393,4,approved,0,0
